24/4/2025 19:51:52 Error: 13 [Type mismatch]  Source: ServidorArgentum	 HelpFile: 	 HelpContext: 1000013	 LastDllError: 3	 - UserIndex: 1 - producido al manejar el paquete: 12
24/4/2025 19:52:01 Error: 13 [Type mismatch]  Source: ServidorArgentum	 HelpFile: 	 HelpContext: 1000013	 LastDllError: 3	 - UserIndex: 1 - producido al manejar el paquete: 12
24/4/2025 19:52:14 Error: 13 [Type mismatch]  Source: ServidorArgentum	 HelpFile: 	 HelpContext: 1000013	 LastDllError: 3	 - UserIndex: 1 - producido al manejar el paquete: 12
24/4/2025 19:52:57 Error: 13 [Type mismatch]  Source: ServidorArgentum	 HelpFile: 	 HelpContext: 1000013	 LastDllError: 3	 - UserIndex: 1 - producido al manejar el paquete: 69
24/4/2025 19:53:17 Error: 13 [Type mismatch]  Source: ServidorArgentum	 HelpFile: 	 HelpContext: 1000013	 LastDllError: 3	 - UserIndex: 1 - producido al manejar el paquete: 69
24/4/2025 19:53:31 Error: 13 [Type mismatch]  Source: ServidorArgentum	 HelpFile: 	 HelpContext: 1000013	 LastDllError: 3	 - UserIndex: 1 - producido al manejar el paquete: 69
24/4/2025 23:49:17 Error: 13 [Type mismatch]  Source: ServidorArgentum	 HelpFile: 	 HelpContext: 1000013	 LastDllError: 3	 - UserIndex: 1 - producido al manejar el paquete: 12
24/4/2025 23:52:45 Error: 13 [Type mismatch]  Source: ServidorArgentum	 HelpFile: 	 HelpContext: 1000013	 LastDllError: 3	 - UserIndex: 1 - producido al manejar el paquete: 12
24/4/2025 23:52:57 Error: 13 [Type mismatch]  Source: ServidorArgentum	 HelpFile: 	 HelpContext: 1000013	 LastDllError: 3	 - UserIndex: 1 - producido al manejar el paquete: 12
24/4/2025 23:53:08 Error: 13 [Type mismatch]  Source: ServidorArgentum	 HelpFile: 	 HelpContext: 1000013	 LastDllError: 3	 - UserIndex: 1 - producido al manejar el paquete: 69
25/4/2025 00:12:21 Error: 91 [Object variable or With block variable not set]  Source: ServidorArgentum	 HelpFile: 	 HelpContext: 1000091	 LastDllError: 0	 - UserIndex: 1 - producido al manejar el paquete: 0
25/4/2025 00:12:44 Error: 91 [Object variable or With block variable not set]  Source: ServidorArgentum	 HelpFile: 	 HelpContext: 1000091	 LastDllError: 0	 - UserIndex: 1 - producido al manejar el paquete: 0
25/4/2025 00:38:04 Error: 91 [Object variable or With block variable not set]  Source: ServidorArgentum	 HelpFile: 	 HelpContext: 1000091	 LastDllError: 0	 - UserIndex: 1 - producido al manejar el paquete: 0
25/4/2025 00:38:09 Error: 91 [Object variable or With block variable not set]  Source: ServidorArgentum	 HelpFile: 	 HelpContext: 1000091	 LastDllError: 0	 - UserIndex: 1 - producido al manejar el paquete: 0
25/4/2025 00:40:55 Error: 13 [Type mismatch]  Source: ServidorArgentum	 HelpFile: 	 HelpContext: 1000013	 LastDllError: 3	 - UserIndex: 1 - producido al manejar el paquete: 12
25/4/2025 00:41:03 Error: 13 [Type mismatch]  Source: ServidorArgentum	 HelpFile: 	 HelpContext: 1000013	 LastDllError: 3	 - UserIndex: 1 - producido al manejar el paquete: 12
25/4/2025 00:43:02 Error: 91 [Object variable or With block variable not set]  Source: ServidorArgentum	 HelpFile: 	 HelpContext: 1000091	 LastDllError: 0	 - UserIndex: 1 - producido al manejar el paquete: 0
